part_number,part_name_msil,part_class,part_group_name,is_supported
02122M0512A,SCRW_RR_SASH_UP,SCRW,,1
09103M06248,BOLT_OPEN,BOLT_OPEN,,1
09137-06032,SCRW_RR_LCH,SCRW,,1
09250M25L01,PLG_FR_HOLE,PLG_FR_HOLE,,1
09409M06314-5PK,CLIP_RR_TR,CLIP,,1
09409M06314-V6N,CLIP_RR_TR,CLIP,,1
81810M80T00,STOP_FR_OPEN,STOP_OPEN,,1
81830M66R00,STOP_RR_OPEN,skip,,1
81830M75L01,STOP_RR_OPEN,skip,,1
81830M81R01,STOP_RR_OPEN,skip,,1
82810M72R00-5PK,HNDL_FR_OUT_R,HNDL,,1
82810M72R20-WB3,HNDL_FR_OUT_R,HNDL,,1
82810M72R20-WBE,HNDL_FR_OUT_R,HNDL,,1
82810M72R30-WB3,HNDL_FR_OUT_R,HNDL,,1
82810M75JA0-WAA,HNDL_FR_OUT_R,HNDL,,1
82810M79M22-WAA,HNDL_FR_OUT_R,HNDL,,1
82820M72R00-5PK,HNDL_FR_OUT_L,HNDL,,1
82820M72R10-5PK,HNDL_FR_OUT_L,HNDL,,1
82820M72R20-WB3,HNDL_FR_OUT_L,HNDL,,1
82820M72R30-WB3,HNDL_FR_OUT_L,HNDL,,1
82820M72R30-WBE,HNDL_FR_OUT_L,HNDL,,1
82820M75JB0-WAA,HNDL_FR_OUT_L,HNDL,,1
82820M79M31-WAA,HNDL_FR_OUT_L,HNDL,,1
82830M66T00-WAA,HNDL_RR_OUT_R,skip,,1
82830M66T10-WAA,HNDL_RR_OUT_R,skip,,1
82830M68P00-5PK,HNDL_RR_OUT_R,skip,,1
82830M68P10-WB3,HNDL_RR_OUT_R,skip,,1
82830M68P10-WBE,HNDL_RR_OUT_R,skip,,1
82840M66T00-WAA,HNDL_RR_OUT_L,skip,,1
82840M66T10-WAA,HNDL_RR_OUT_L,skip,,1
82840M68P00-5PK,HNDL_RR_OUT_L,skip,,1
82840M68P10-WB3,HNDL_RR_OUT_L,skip,,1
82840M68P10-WBE,HNDL_RR_OUT_L,skip,,1
83071M66T00-5PK,TRIM_SET_FR_R,TRIM_SET,,1
83071M66T10-ERS,TRIM_SET_FR_R,TRIM_SET,,1
83071M66T20-ERT,TRIM_SET_FR_R,TRIM_SET,,1
83071M66T30-ERT,TRIM_SET_FR_R,TRIM_SET,,1
83071M69R11-5PK,TRIM_SET_FR_R,TRIM_SET,,1
83072M66T01-5PK,TRIM_SET_FR_L,TRIM_SET,,1
83072M66T11-ERS,TRIM_SET_FR_L,TRIM_SET,,1
83072M66T21-ERT,TRIM_SET_FR_L,TRIM_SET,,1
83072M66T31-ERT,TRIM_SET_FR_L,TRIM_SET,,1
83072M69R12-5PK,TRIM_SET_FR_L,TRIM_SET,,1
83073M66T01-5PK,TRIM_SET_RR_R,skip,,1
83073M66T11-ERS,TRIM_SET_RR_R,skip,,1
83073M66T21-ERT,TRIM_SET_RR_R,skip,,1
83073M66T31-ERT,TRIM_SET_RR_R,skip,,1
83073M69R12-5PK,TRIM_SET_RR_R,skip,,1
83074M66T01-5PK,TRIM_SET_RR_L,skip,,1
83074M66T11-ERS,TRIM_SET_RR_L,skip,,1
83074M66T21-ERT,TRIM_SET_RR_L,skip,,1
83074M66T31-ERT,TRIM_SET_RR_L,skip,,1
83074M69R12-5PK,TRIM_SET_RR_L,skip,,1
83076M55U00-FHW,TRIM_SET_RR_L,skip,,1
83076M56RA2-HLK,TRIM_SET_RR_L,skip,,1
83077M55U00-FHW,TRIM_SET_RR_R,skip,,1
83077M56RA2-HLK,TRIM_SET_RR_R,skip,,1
83078M54TA3-CTL,TRIM_SET_FR_L,TRIM_SET,,1
83078M55U00-FF8,TRIM_SET_FR_L,TRIM_SET,,1
83078M55U10-FF7,TRIM_SET_FR_L,TRIM_SET,,1
83078M55U20-FF8,TRIM_SET_FR_L,TRIM_SET,,1
